A|ア
Crouching|クラウチング
Croup|クループ
Croup|クルップ
Crouton|クルトン
Crouzon|クルゾン
Crow|クロー
Crowds|クラウズ
Crowd|クラウド
Crowding|クラウディング
Crowley|クラウリー
Crowley|クローリー
Crown|クラウン
Crown|クラウンズ
Crowning|クラウニング
Crucible|クルーシブル
Cruciger|クルキゲル
Cruel|クルーエル
Cruise|クルーズ
Cruiser|クルーザー
Cruising|クルージング
Cruller|クルーラー
Crunch|クランチ
Crusader|クルセーダー
Crusader|クルセーダーズ
Crusader|クルセダー
Crusader|クルセダース
Crusader|クルセダーズ
Crushed|クラッシュド
Crusher|クラッシャー
Crusoe|クルーソー
Crust|クラスト
Crutzen|クルッツェン
Cruz|キリ
Cruz|クルス
Cruzado|クルザード
Cruzeiro|クルゼーロ
Cry|クラーイ
Cry|クライ
Crying|クライング
Cryoprecipitate|クリオプレシピテート
Cryostat|クライオスタット
Cryostat|クリオスタット
Cryptanthus|クリプタンサス
Cryptochrome|クリプトクロム
Cryptococcosis|クリプトコッカス
Cryptosporidium|クリプトスポリジウム
Crystal|クリスタル
Crystallin|クリスタリン
Crystallize|クリスタライズ
Csardas|チャルダッシュ
Csikos|クシコス
Ctesiphon|クテシフォン
Cub|カブ
Cub|カブス
Cub|カブズ
Cuba|キューバ
Cuba|キューバー
Cuba|クーバ
Cube|キューブ
Cube|キューブス
Cubeb|クベバ
Cubic|キュービック
Cubicle|キュービクル
Cubism|キュービズム
Cubism|キュビスム
Cubism|キュビズム
Cubist|キュービスト
Cubist|キュビスト
Cubit|キュービット
Cubit|キュビット
Cubit|キュビト
Cucchi|クッキ
Cucinelli|クチネリ
Cue|キュー
Cuenca|クエンカ
Cuerda|クエルダ
Cuernavaca|クエルナバカ
Cuesta|クエスタ
Cuesta|ケスタ
Cuff|カフ
Cuff|カフス
Cuisine|キュイジーヌ
Culkin|カルキン
Cullet|カレット
Culotte|キュロット
Cult|カルト
Cultivator|カルチベーター
Cultura|カルトラ
Cultura|クルトゥーラ
Cultural|カルチャル
Cultural|カルチュラル
Culturalism|カルチュラリズム
Culture|カルチェア
Culture|カルチャ
Culture|カルチャー
Culture|カルチュア
Cultureds|カルチャーズ
Cumene|クメン
Cumin|クミン
Cummerbund|カマーバンド
Cumparsita|クンパルシータ
Cunard|キュナード
Cuneo|クーネオ
Cuniculi|クニクリ
Cunnilingus|クンニ
Cunnilingus|クンニリングス
Cunning|カンニング
Cunningham|カニングハム
Cunt|カント
Cuon|クオン
Cuore|クオレ
Cup|カップ
Cup|カップス
Cuper|クーペル
Cupertino|クパティーノ
Cupids|キューピッズ
Cupid|キューピッド
Cupid|クピド
Cupido|クピド
Cupola|キューポラ
Cupola|キュポラ
Cupola|クーポラ
Cupping|カッピング
Cupra|キュプラ
Cupula|クプラ
Curacao|キュラソー
Curare|クラーレ
Curare|クラレ
Curator|キューレーター
Curator|キュレーター
Curculin|クルクリン
Curdle|カードル
Cure|キュア
Cure|クーア
Cure|クア
Curette|キューレット
Curie|キューリー
Curie|キュリー
Curio|クリオ
Curiosity|キュリオシティ
Curiosity|キュリオシティー
Curitiba|クリチーバ
Curitiba|クリチバ
Curium|キュリウム
Curl|カール
Curler|カーラー
Curling|カーリング
Curly|カーリー
Currant|カラント
Currants|カレンズ
Currants|カレンツ
Currency|カレンシー
Current|カレント
Curriculum|カリキュラム
Curriculum|カリュキュラム
Curry|カリー
Curry|カレー
Cursor|カーソル
Curtain|カーテン
Curtis|クルティス
Curtius|クルティウス
Curve|カーブ
Curvimetre|キルビメーター
Curvy|カービー
Curzon|カーゾン
Cusanus|クザーヌス
Cuscuna|カスクーナ
Cuscus|クスクス
Cushing|カシング
Cushing|クッシング
Cushion|クッション
Cushioning|クッショニング
Cushka|クシュカ
Cusp|カスプ
Custards|カスターズ
Custard|カスタード
Custer|カスター
Custodial|カストーディアル
Custom|カスタム
Customer|カスタマー
Customer|カストマ
Customization|カスタマイゼーション
Customize|カスタマイズ
Cut|カット
Cutch|カッチ
Cute|キュート
Cuticle|キューティクル
Cuticula|クチクラ
Cutie|キューティ
Cutie|キューティー
Cutin|クチン
Cutlery|カトラリー
Cutlet|カツ
Cutlet|カツレツ
Cutter|カッタ
Cutter|カッター
Cutting|カッティング
Cutty|カティ
Cutty|カティー
Cutwork|カットワーク
Cuvee|キュベ
Cuvier|キュビエ
Cuyp|カイプ
Cuzco|クスコ
Cyan|シアン
Cyan|シヤン
Cyanamide|シアナミド
Cyanate|シアネート
Cyano|シアノ
Cyanoacrylate|シアノアクリレート
Cyanocobalamine|シアノコバラミン
Cyanoethyl|シアノエチル
Cyanogen|シアノゲン
Cyanohydrin|シアノヒドリン
Cyanohydrin|シアンヒドリン
Cybele|キュベレ
Cybele|キュベレー
Cyber|サイバー
Cybernetic|サイバネティクス
Cybernetic|サイバネティック
Cybernetic|サイバネティックス
Cyberspace|サイバースペース
Cyborg|サイボーグ
Cycladic|キクラデス
Cyclamen|シクラメン
Cycle|サイクル
Cyclic|サイクリック
Cyclin|サイクリン
Cycling|サイクリング
Cyclist|サイクリスト
Cyclodextrin|シクロデキストリン
Cyclododecatriene|シクロドデカトリエン
Cycloheptane|シクロヘプタン
Cycloheptene|シクロヘプテン
Cyclohexane|シクロヘキサン
Cyclohexanol|シクロヘキサノール
Cyclohexanone|シクロヘキサノン
Cycloheximide|シクロヘキシミド
Cyclohexylamine|シクロヘキシルアミン
Cycloid|サイクロイド
Cyclon|サイクロン
Cyclopentadienyl|シクロペンタジエニル
Cyclopentyl|シクロペンチル
Cyclophosphamide|シクロフォスファミド
Cyclophosphamide|シクロホスファミド
Cyclopropane|シクロプロパン
Cyclops|サイクロプス
Cycloserine|サイクロセリン
Cyclosporin|サイクロスポリン
Cyclosporin|シクロスポリン
Cyclotetramethylenetetranitramine|シクロテトラメチレンテトラニトラミン
Cyclotrimethylenetrinitramine|シクロトリメチレントリニトロアミン
Cyclotron|サイクロトロン
Cyfluthrin|シフルトリン
Cylinder|シリンダ
Cylinder|シリンダー
Cylindrical|シリンドリカル
Cymbal|シンバル
Cymbidium|シンビ
Cymbidium|シンビジウム
Cymbidium|シンビジューム
Cymric|キムリック
Cynic|シニック
Cynical|シニカル
Cynicism|シニシズム
Cynicism|シニスム
Cynthia|シンシア
Cyphenothrin|シフェノトリン
Cypress|サイプレス
Cyprien|シプリアン
Cypripedium|シプリペディウム
Cyproheptadine|シプロヘプタジン
Cyprus|キプロス
Cyprus|キュプロス
Cyprus|サイプラス
Cyrano|シラノ
Cyranuce|シラヌス
Cyrene|キュレネ
Cyrene|キレネ
Cyst|シスト
Cysteine|システイン
Cystine|シスチン
Cytarabine|シタラビン
Cythere|シテール
Cytochrom|シトクロム
Cytochrom|チトクローム
Cytochrom|チトクロム
Cytokine|サイトカイン
Cytokinin|サイトカイニン
Cytomegalovirus|サイトメガロウイルス
Cytosine|シトシン
Cytosol|サイトゾル
Cytotoxin|サイトトキシン
Cyzicus|キュジコス
Czarism|ツァーリズム
Czarnecki|クザルネッキ
Czech|チェク
Czech|チェコ
Czech|チェック
Czech|チェッコ
Cziffra|シフラ
Daan|ダーン
Dacarbazine|ダカルバジン
Dacascos|ダカスコス
Dacca|ダッカ
Dacca|ダッカー
Dacha|ダーチャ
Dachshund|ダックス
Dachshund|ダックスフント
Dachshund|ダックスフンド
Dacite|デーサイト
Dacoit|ダコイト
Dacquoises|ダコワーズ
Dada|ダダ
Dadaism|ダダイスム
Dadaism|ダダイズム
Dadaist|ダダイスト
Daffy|ダッフィ
Daft|ダフト
Dagger|ダガー
Dagon|ダゴン
Daguerre|ダゲール
Daguerreotype|ダゲレオタイプ
Dagvadorj|ダグワドルジ
Dahl|ダール
Dahlia|ダリア
Dahlia|ダリヤ
Dahrendorf|ダーレンドルフ
Daidalos|ダイダロス
Daily|デイリー
Daily|デーリー
Daimler|ダイムラー
Daimon|ダイモーン
Daimon|ダイモン
Daimonion|ダイモニオン
Daiquiri|ダイキリ
Daisy|デージー
Daitec|ダイテック
Dakin|デーキン
Dalat|ダラト
Dalfopristin|ダルホプリスチン
Dali|ダーリ
Dali|ダリ
Dallas|ダラス
Dalmatica|ダルマティカ
Dalmetian|ダルマシアン
Dalmetian|ダルメシアン
Dalton|ダルトン
Dam|ダム
Damage|ダメージ
Daman|ダマン
Damandes|ダマンド
Damansky|ダマンスキー
Damascus|ダマスカス
Damascus|ダマスクス
Damascus|ダマスコ
Damask|ダマスク
Dame|ダーム
Dame|デーム
Damiano|ダミアーノ
Damiano|ダミアノ
Damien|ダミアン
Damier|ダミエ
Dammar|ダマール
Dammar|ダンマル
Damokles|ダモクレス
Damon|デーモン
Damonisch|デモーニッシュ
Damper|ダンパ
Damper|ダンパー
Dampier|ダンピア
Damsite|ダムサイト
Dan|ダン
Danao|ダナオ
Danas|ダナス
Danazol|ダナゾール
Dance|ダンス
Danceable|ダンサブル
Dancer|ダンサー
Dancer|ダンサーズ
Dancing|ダンシング
Dandelion|ダンデライオン
Dandrieu|ダンドリュー
Dandy|ダンディ
Dandy|ダンディー
Dandyism|ダンディスム
Dandyism|ダンディズム
Dane|デーン
Danforth|ダンフォース
Danger|デンジャー
Dangerfield|デンジャーフィールド
Dangerous|デンジャラス
Dangling|ダングリング
Daniel|ダニエル
Daniela|ダニエラ
Daniels|ダニエルズ
Danilov|ダニーロフ
Danilov|ダニロフ
Danish|デニッシュ
Danishmend|ダニシュメンド
Danke|ダンケ
Danner|ダナー
Dantalion|ダンタリオン
Dante|ダンテ
Danton|ダントン
Dantrolene|ダントロレン
Danube|ダニューブ
Danzig|ダンチッヒ
Danzig|ダンチヒ
Danzig|ダンツィヒ
Daphne|ダフネ
Dapple|ダップル
Daquin|ダカン
Dara|ダーラー
Darbepoetin|ダルベポエチン
Darcey|ダーシー
Darcy|ダルシー
Dardo|ダルド
Dare|デアー
Dario|ダリオ
Darius|ダリウス
Darjeeling|ダージリン
Dark|ダーク
Darken|ダーキン
Darkhan|ダルハン
Darkness|ダークネス
Darling|ダーリン
Darling|ダーリング
Darlington|ダーリントン
Darmabala|ダルマバラ
Darning|ダーニング
Darold|ダロルド
Darra|ダラ
Darrieux|ダリュー
Dart|ダート
Darth|ダース
Dartmoor|ダートムーア
Dartmoor|ダートムア
Dartmouth|ダートマス
Darts|ダーツ
Darunavir|ダルナビル
Darwaza|ダルワザ
Darwin|ダーウィン
Darwinism|ダーウィニズム
Das|ダス
Dasain|ダサイン
Dasatinib|ダサチニブ
Dash|ダーシ
Dash|ダッシュ
Dashboard|ダッシュボード
Data|データ
Data|データー
Data|データム
Database|データーベース
Database|データベース
Datagram|データグラム
Date|デーツ
Date|デート
Datsun|ダットサン
Datura|ダチュラ
Datura|ダツラ
Daughter|ドーター
Dauma|ダウマ
Daumier|ドーミエ
Daunomycin|ダウノマイシン
Daunorubicin|ダウノルビシン
Dauphine|ドーフィネ
Dausgaard|ダウスゴー
Dausset|ドーセ
Dava|ダバ
Davao|ダバオ
Dave|デーブ
David|ダビデ
David|デービット
Davids|デービッズ
David|デービッド
David|ディビット
David|ディビッド
David|デビット
David|デビッド
Davidov|ダビドフ
Davids|ダービッツ
Davidson|ダビッドソン
Davidson|ダビドソン
Davidson|デビッドソン
Davis|デービス
Davis|ディビス
Davis|デビス
Davison|デービソン
Davisson|デビソン
Davit|ダビット
Davy|デービー
Davy|ディビー
Dawkins|ドーキンス
Dawn|ドーン
Dawson|ドースン
Dawson|ドーソン
Day|デー
Day|デーズ
Dead|デッド
Deadline|デッドライン
Deadlock|デッドロック
Deadly|デッドリー
Deaf|デフ
Deal|ディール
Deal|ディールズ
Dealer|デーラー
Dealer|ディーラー
Dealer|ディラー
Dealing|ディーリング
Dean|ディーン
Dear|ディア
Dear|ディアー
Dearka|ディアッカ
Dearling|デアリング
Death|デス
Deauville|ドービル
Debate|ディベート
Debonair|デボネア
Debray|ドゥブレ
Debridement|デブリドマン
Debris|デブリ
Debt|デット
Debug|デバッグ
Debugger|デバッガ
Debugger|デバッガー
Debussy|ドビッシー
Debussy|ドビュッシー
Debut|デビュー
Debye|デバイ
Deca|デカ
Decadant|デカダン
Decade|ディケード
Decadence|デカダンス
Decae|ドカ
Decahydronaphthalene|デカヒドロナフタレン
Decal|デカール
Decalcomanie|デカルコマニー
Decalcomanie|デカルコマニア
Decamerone|デカメロン
Decane|オクタデカン
Decanter|デカンタ
Decanter|デカンター
Decanter|デキャンタ
Decanter|デキャンター
Decar|デコール
Decare|デカール
Decay|ディケー
Decca|デッカ
December|ディセンバー
December|ディッセンバー
Decene|デセン
Dechirer|デシレ
Deci|デシ
Decibel|デシベル
Decilitre|デシリットル
Decimus|デキムス
Decision|ディシジョン
Deck|デッキ
Decke|ゼッケン
Decker|デッカー
Decks|デックス
Declamation|デクラメーション
Declaration|デクラレーション
Deco|デコ
Decode|デコード
Decoder|デコーダ
Decoder|デコーダー
Decoding|デコーディング
Decola|デコラ
Decolletage|デコルタージュ
Deconstruction|ディコンストラクション
Deconstruction|デコンストラクション
Decorater|デコレーター
Decoration|デコレーション
Decorative|デコラティブ
Decorin|デコリン
Decorte|デコルテ
Decoupling|デカップリング
Decoy|デコイ
Decrescendo|デクレシェンド
Decrescendo|デクレッシェンド
Decrypter|デクリプター
Decugis|デキュジス
Decyl|デシル
Decylaldehyde|デシルアルデヒド
Dedicate|デディケート
Dedication|デディケーション
Dee|ディー
Deeken|デーケン
Deep|ディープ
Deer|ディアー
Deer|ディアーズ
Default|デフォ
Default|デフォルト
Defcon|デフコン
Defeat|デフィート
Defender|ディフェンダー
Defending|ディフェンディング
Defense|ディフェンス
Deferoxamine|デフェロキサミン
Defi|デフィ
Define|ディファイン
Definition|ディフィニション
Definition|デフィニション
Deflate|デフレート
Deflation|デフレ
Deflation|デフレーション
Deflator|デフレータ
Deflator|デフレーター
Deflect|ディフレクト
Defoe|デフォー
Defogger|デフォッガー
Deformation|デフォルマシオン
Deformer|ディフォルメ
Deformer|デフォルメ
Defragmentation|デフラグ
Defroster|デフロスタ
Defroster|デフロスター
Defstar|デフスター
Degas|ドガ
Degauss|デガウス
Degli|デッリ
Degree|ディグリー
Degree|デグリー
Dehydroepiandrosterone|デヒドロエピアンドロステロン
Dehydrogenase|デヒドロゲナーゼ
Deifenbaker|ディーフェンベーカー
Deitch|ダイチ
Deiters|ダイテルス
Dejan|デヤン
Dekabrist|デカブリスト
Del|デル
Delacroix|ドラクロワ
Delage|ドラージュ
Delapierre|ドラピエール
Delasau|デラサウ
Delaware|デラウェア
Delaware|デラウエア
Delay|ディレー
Delayed|ディレード
Delchev|デルチェフ
Delegation|デリゲーション
Delegation|デレゲーション
Delete|デリート
Deleuze|ドゥルーズ
Delfino|デルフィノ
Delhi|デリー
Delibes|ドリーブ
Delicacy|デリカシー
Delicate|デリケート
Delicatessen|デリ
Delicious|デリーシャス
Delicious|デリシャス
Delikatessen|デリカテッセン
Delilah|デリラ
Delimiter|デリミタ
Delimiter|デリミター
Deliver|デリバー
Delivery|デリバリ
Delivery|デリバリー
Della|デッラ
Della|デラ
Delle|デッレ
Dellinger|デリンジャー
Delmas|デルマス
Delmonico|デルモニコ
Delmonte|デルモンテ
Deloitte|デロイト
Delon|ドロン
Delors|ドロール
Delphi|デルファイ
Delphinium|デルフィニウム
Delphoi|デルフィ
Delphoi|デルフォイ
Delphoi|デルポイ
Delrin|デルリン
Delucia|デルーシア
Deluxe|デラックス
Demagog|デマゴーグ
Demagogie|デマ
Demagogie|デマゴギー
Demands|ディマンズ
Demand|ディマンド
Demand|デマンド
Demarco|デマルコ
Demecarium|デメカリウム
Demenga|デメンガ
Demerit|デメリット
Demeter|デーメーテール
Demeter|デメテル
Demetorius|ディミトリアス
Demeulemeester|ドゥムルメステール
Demi|ドゥミ
Demi|ドミ
Demiglace|デミグラス
Demiglace|ドミグラス
Demille|デミル
Demiourgos|デミウルゴス
Demitasse|デミタス
Demo|デモ
Democracy|デモクラシー
Democrat|デモクラート
Democrat|デモクラッツ
Democrat|デモクラット
Democratic|デモクラティカ
Democratic|デモクラティック
Demography|デモグラフィー
Demokritos|デモクリトス
Demon|デーモン
Demon|デーモンズ
Demon|デモン
Demonstration|デモストレーション
Demonstration|デモンストレーション
Demonstrator|デモンストレーター
Demosthenes|デモステネス
Demotic|デモティック
Dempster|デンプスター
Demuro|デムーロ
Demus|デームス
Demy|ドゥミ
Denali|デナリ
Denarius|デナリウス
Denby|デンビー
Dendrite|デンドライト
Dendrobium|デンドロビウム
Dendrobium|デンドロビューム
Dendrogramm|デンドログラム
Deneb|デネブ
Denebola|デネボラ
Denel|デネル
Dengue|デング
Denham|デナム
Denied|ディナイド
Denier|デニール
Denilson|デニウソン
Denim|デニム
Denisovka|デニソフカ
Denman|デンマン
Denmark|デンマーク
Denmark|デンマルク
Denniston|デニストン
Denny|デニー
Denomination|デノミ
Denomination|デノミネーション
Denon|デンオン
Denosine|デノシン
Denotation|デノテーション
Dent|デント
Dente|デンテ
Dentelle|ダンテル
Denton|デントン
Denuelle|ドニュエル
Denver|デンバー
Deodorant|デオドラント
Deoxy|デオキシ
Deoxyribose|デオキシリボース
Deoxythymidine|デオキシチミジン
Depardieu|ドパルデュー
Department|デパ
Department|デパート
Department|デパートメント
Departure|デパーチャー
Depend|ディペンド
Depinay|デピネ
Deploy|デプロイ
Deportivo|デポルティーボ
Deportivo|デポルティボ
Deposit|デポジット
Depot|デポ
Depot|デポー
Depression|デプレッション
Depressive|デプレッシブ
Depromel|デプロメール
Depth|デプス
Deracine|デラシネ
Derailer|ディレーラー
Derain|ドラン
Derby|ダービ
Derby|ダービー
Deregulation|ディレギュレーション
Deregulation|デレギュレーション
Derek|デレク
Deriugina|デルギナ
Derivative|デリバティブ
Derivative|デリバティブズ
Derivative|デリバディブ
Derma|ダーマ
Derman|ダーマン
Dermascope|ダーモスコープ
Dermitage|レルミタージュ
Derrick|デリック
Derrida|デリダ
Derringer|デリンジャー
Derris|デリス
Dersu|デルス
Dersu|デルスー
Des|デ
Desafinard|デサフィナード
Desailly|デサイ
Desailly|デサイー
Descant|ディスカント
Descartes|デカルト
Descendant|ディセンダント
Descente|デサント
Description|ディスクリプション
Desdemona|デスデモナ
Deseo|デセオ
Desert|デザート
Desiccator|デシケータ
Desiccator|デシケーター
Design|ディザイン
Design|デザイン
Design|デザインズ
Designator|デジグネーター
Designer|デザイナ
Designer|デザイナー
Designer|デザイナーズ
Desire|ディザイア
Desire|ディザイアー
Desire|デザイア
Desire|デザイアー
Desk|デスク
Desktop|デスクトップ
Desmopressin|デスモプレシン
Desmosome|デスモソーム
Desmostylus|デスモスチルス
Desomorphine|デソモルヒネ
Desperado|デスペラード
Desperate|デスペレート
Despot|デスポット
Despotism|デスポティズム
Dessert|デザート
Dessin|デッサン
Destinn|デスティン
Destiny|ディスティニー
Destiny|デスティニー
Destrade|デストラーデ
Destron|デストロン
Destroy|デストロイ
Destructor|デストラクタ
Destructor|デストラクター
Detachable|デタッチャブル
Detail|ディテール
Detail|ディテールズ
Detail|ディティール
Detail|デテール
Detaileds|ディテールズ
Detection|ディテクション
Detective|ディティクティブ
Detective|ディテクティブ
Detective|デテクティブ
Detector|ディテクタ
Detector|ディテクター
Detente|デタント
Deter|デター
Determinant|デテルミナント
Determination|ディターミネーション
Detmers|デートメルス
Detonation|デトネーション
Detox|デトックス
Detritus|デトライタス
Detritus|デトリタス
Detroit|デトロイト
Detrusitol|デトルシトール
Detune|デチューン
Deuce|ジュース
Deuce|デュース
Deus|デウス
Deuterium|デューテリウム
Deuteron|デューテロン
Deutsch|ドイッチ
Deutsch|ドイッチュ
Deutsche|ドイチ
Deutsche|ドイチェ
Deutscher|ドイチャー
Deutschland|ドイチュラント
Deux|ドゥー
Deux|ドゥーエ
Deux|ドゥエ
Devaluation|デバリュエーション
Developer|ディベロッパー
Developer|デベロッパー
Developer|デベロッパーズ
Development|ディベロップメント
Device|ディバイス
Device|デバイス
Devil|デビル
Devil|デビルズ
Devonshire|デボンシャー
Dew|デュー
Dewey|デューイ
Dewi|デビ
Dewitt|デウィット
Dexamethasone|デキサメサゾン
Dexamethasone|デキサメタゾン
Dexmedetomidine|デクスメデトミジン
Dexter|デクスター
Dextran|デキストラン
Dextrin|デキストリン
Dextrose|デキストロース
Dhanbads|ダンバーズ
Dhanbad|ダンバード
Dhanyawaad|ダンニャワード
Dharmapaala|ダルマパーラ
Dhobie|ドービー
Diable|ディアブル
Diabolo|ディアボルス
Diabolo|ディアボロ
Diabolo|ディアボロス
Diacetoxy|ジアセトキシ
Diacylglycerol|ジアシルグリセロール
Diadokhoi|ディアドコイ
Diagilev|ディアギレフ
Diagon|ダイアゴン
Diagonal|ダイアゴナル
Diagram|ダイアグラム
Diagram|ダイヤ
Diagram|ダイヤグラム
Dial|ダイアル
Dial|ダイヤル
Dialect|ダイアレクト
Dialogue|ダイアローグ
Dialogue|ダイアログ
Diamante|ディアマンテ
Diaminodiphenylmethane|ジアミノジフェニルメタン
Diaminotoluene|ジアミノトルエン
Diamond|ギヤマン
Diamond|ダイア
Diamonds|ダイアモンズ
Diamond|ダイアモンド
Diamond|ダイヤ
Diamonds|ダイヤモンズ
Diamond|ダイヤモンド
Diamond|ディアマン
Diana|ダイアナ
Dianetics|ダイアネティックス
Dianthus|ダイアンサス
Diaphragm|ダイアフラム
Diarra|ディアッラ
Diarra|ディアラ
Diary|ダイアリー
Diarylethene|ジアリールエテン
Dias|ディアス
Dias|ディアズ
Diaspora|ディアスポラ
Diastase|ジアスターゼ
Diastase|タカジアスターゼ
Diatryma|ディアトリマ
Diazabicyclo|ジアザビシクロ
Diazepin|ジアゼピン
Diazinon|ダイアジノン
Diazirine|ジアジリン
Dibekacin|ジベカシン
Dibenzo|ジベンゾ
Dibenzofuran|ジベンゾフラン
Dibenzoyl|ジベンゾイル
Dibrom|ジブロモ
Dibrome|ジブロム
Dibromide|ジブロミド
Dibromochloromethane|ジブロモクロロメタン
Dibromoethane|ジブロモエタン
Dibutylhydroxytoluene|ジブチルヒドロキシトルエン
Dicarboxylic|ジカルボン
Dice|ダイス
Dichlor|ジクロロ
Dichlorobenzene|ジクロロベンゼン
Dichlorobenzidine|ジクロルベンジジン
Dichlorobenzidine|ジクロロベンジジン
Dichloroethane|ジクロロエタン
Dichlorvos|ジクロルボス
Dick|ディック
Dickens|ディケンズ
Dickens|ディッケンズ
Dickins|ディキンズ
Dickinson|ディキンソン
Dicky|ディッキー
Diclofenac|ジクロフェナク
Dicofol|ジコホール
Dicofol|ジコホル
Dictaphone|ディクタフォン
Dictation|ディクテーション
Dictionary|ディクショナリー
Dicumyl|ジクミル
Dicyan|ジシアン
Dicyandiamide|ジシアンジアミド
Dicyanobenzene|ジシアノベンゼン
Dicyclopentadiene|ジシクロペンタジエン
Dida|ジダ
Didakhe|ディダケー
Didanosine|ジダノシン
Didehydro|ジデヒドロ
Dideoxy|ジデオキシ
Diderot|ディドロ
Didier|ディディエ
Didius|ディディウス
Die|ダイ
Dieffenbachia|ディフェンバキア
Diego|ディエゴ
Diehards|ダイハーズ
Diehard|ダイハード
Diem|ジエム
Diem|ディエム
Diemen|ディーメン
Diene|ジエン
Dieppe|ディエップ
Diercke|ディルケ
Dies|ダイス
Dies|ディエス
Diesel|ジーゼル
Diesel|ディーゼル
Dieskau|ディースカウ
Diet|ダイエット
Dietary|ダイエタリー
Dieter|ダイエッター
Diethylamide|ジエチルアミド
Diethylamino|ジエチルアミノ
Diethylaminoethyl|ジエチルアミノエチル
Diethyldithiocarbamic|ジエチルジチオカルバミン
Diethylene|ジエチレン
Diethylenetriamine|ジエチレントリアミン
Dietl|ディートル
Dietrich|デートリッヒ
Dietrich|ディートリッヒ
Dietrich|ディートリヒ
Dieu|デュー
Diez|ディエス
Difenidol|ジフェニドール
Difethiarol|ジフェチアロール
Differ|ディファ
Differ|ディファー
Difference|ディファレンス
Different|ディファレント
Differential|ディファレンシャル
Differential|デファレンシャル
Diffuser|ディフューザー
Diffuser|デフューザー
Diflucortolone|ジフルコルトロン
Diflunisal|ジフルニサル
Difluoride|ジフロライド
Difolatan|ダイホルタン
Digest|ダイジェスト
Digestif|ディジェスチフ
Digestif|ディジェスティフ
Digestive|ダイジェスティブ
Digit|ディジット
Digit|デジット
Digital|ディジタル
Digital|デジ
Digital|デジタル
Digitalis|ジキタリス
Digitalis|ジギタリス
Digitizer|ディジタイザ
Digitizer|デジタイザー
Dignaga|ディグナーガ
Dignity|ディグニティ
Digoxin|ジゴキシン
Dihydrocodeine|ジヒドロコデイン
Dihydrodeoxymorphine|ジヒドロデオキシモルヒネ
Dihydrofuran|ジヒドロフラン
Dihydroisoquinoline|ジヒドロイソキノリン
Dihydropyridine|ジヒドロピリジン
Dihydrotestosterone|ジヒドロテストステロン
Diisobutyl|ジイソブチル
Diisocyanate|ジイソシアナート
Diisononyl|ジイソノニル
Diisopropylamine|ジイソプロピルアミン
Dijkstra|ダイクストラ
Dijon|ディジョン
Dikdik|ディクディク
Diketopiperazine|ジケトピペラジン
Dilatancy|ダイラタンシー
Dilemma|ジレンマ
Dilemma|ディレンマ
Dilettante|ディレッタント
Dilettantism|ディレッタンティズム
Dill|ディル
Dillon|ディロン
Dilthey|ディルタイ
Diltiazem|ジルチアゼム
Dilution|ダイリューション
Dimaggio|ディマジオ
Dimanche|ディマンシュ
Dime|ダイム
Dimemorfan|ジメモルファン
Dimenhydrinate|ジメンヒドリナート
Dimension|ダイメンション
Dimension|ディメンション
Dimer|ダイマー
Dimetacrine|ジメタクリン
Dimethyl|ジメチル
Dimethylacetamide|ジメチルアセトアミド
Dimethylamine|ジメチルアミン
Dimethylamino|ジメチルアミノ
Dimethylcarbamoyl|ジメチルカルバモイル
Dimethylergoline|ジメチルエルゴリン
Dimethylformamide|ジメチルホルムアミド
Dimethylsulfamide|ジメチルスルファミド
Dimethylxanthine|ジメチルキサンチン
Dimeton|ジメトン
Dimetrodon|ディメトロドン
Diminish|ディミニッシュ
Diminuendo|ディミヌエンド
Dimitri|ディミトリ
Dimitrov|ディミトロフ
Dimorpholamine|ジモルホラミン
Dimorphotheca|ディモルフォセカ
Dimple|ディンプル
Dimutase|ジスムターゼ
Dina|ディーナ
Dinan|ディナン
Dinar|ディナール
Dinas|ダイナス
Diners|ダイナース
Dinghy|ディンギー
Dingo|ディンゴ
Dining|ダイニング
Dinitrobenzene|ジニトロベンゼン
Dinitrophenol|ジニトロフェノール
Dinitrotoluene|ジニトロトルエン
Dinner|ディナー
Dinoprostone|ジノプロストン
Dinoseb|ジノセブ
Dinu|ディヌ
Dio|ディオ
Diocletianus|ディオクレティアヌス
Dioctyl|ジオクチル
Diode|ダイオード
Diodooros|ディオドロス
Diogenes|ディオゲネス
Diolefin|ジオレフィン
Dionysia|ディオニュシア
Dionysius|ディオニシウス
Dionysius|ディオニュシオス
Diophantus|ディオファントス
Dior|ディオール
Diorama|ジオラマ
Diorama|ディオラマ
Diotim|ディオティーマ
Dioxane|ジオキサン
Dioxin|ジオキシン
Dioxin|ダイオキシン
Dioxopiperazine|ジオキソピペラジン
Dip|ディップ
Diphenhydramine|ジフェンヒドラミン
Diphenoxylate|ジフェノキシレート
Diphenyl|ジフェニル
Diphenylamine|ジフェニルアミン
Diphenylcarbazide|ジフェニルカルバジド
Diphenylheptan|ジフェニルヘプタン
Diphenylmethane|ジフェニルメタン
Diphosphonic|ジホスホン
Diphtheria|ジフテリア
Diplodocus|ディプロドクス
Diploma|ディプローム
Diploma|ディプロマ
Diploma|ディプロム
Diplomacy|ディプロマシー
Dipole|ダイポール
Dippel|ディッペル
Dipper|ディッパー
Dipyidamole|ジピリダモール
Diquat|ジクワット
Dirac|ディラック
Dire|ダイアー
Direct|ダイレクト
Direct|ディレクト
Direction|ディレクション
